gene	start	end	strand	alt_ann
mpneu19962	15131	15181	-	-1
mpneu19961	15188	15226	-	-1
mpneu25099	14989	15381	-	0
mpneu05004	15383	15493	+	0
mpneu05005	15503	15544	+	-1
mpneu25098	15457	15540	-	0
mpneu05006	15632	15676	+	-1
mpneu25097	15541	15690	-	0
mpneu30019	15066	15776	-	0
mpneu19960	15758	15781	-	-1
mpneu05007	15794	15862	+	0
mpneu00073	15829	15891	+	0
mpneu09909	15846	15851	+	-1
mpneu25096	15808	15855	-	-1
mpneu09910	15867	16505	+	MPN014
mpneu19959	15902	15907	-	-1
mpneu30018	15888	15914	-	-1
mpneu05008	15932	15955	+	-1
mpneu25095	15874	15939	-	0
mpneu19958	15908	15952	-	-1
mpneu30017	15969	15974	-	-1
mpneu00074	15988	16002	+	-1
mpneu05009	16022	16051	+	-1
mpneu25094	15964	16038	-	0
mpneu19957	16004	16054	-	-1
mpneu00075	16063	16074	+	-1
mpneu00076	16090	16152	+	0
mpneu30016	16155	16163	-	-1
mpneu25093	16117	16170	-	-1
mpneu19956	16106	16186	-	0
mpneu00077	16195	16218	+	-1
mpneu05010	16211	16228	+	-1
mpneu00078	16231	16266	+	-1
mpneu05011	16256	16279	+	-1
mpneu30015	16269	16301	-	-1
mpneu05012	16325	16351	+	-1
mpneu00079	16336	16356	+	-1
mpneu19955	16187	16378	-	0
mpneu00080	16387	16410	+	-1
mpneu00081	16441	16485	+	-1
mpneu09911	16506	16526	+	-1
mpneu05013	16547	16588	+	-1
mpneu25092	16534	16569	-	-1
mpneu00082	16573	16659	+	0
mpneu19954	16577	16612	-	-1
mpneu09912	16665	16673	+	-1
mpneu19953	16637	16666	-	-1
mpneu19952	16670	16684	-	-1
mpneu00083	16696	16752	+	-1
mpneu09913	16698	16718	+	-1
mpneu25091	16690	16713	-	-1
mpneu09914	16743	16799	+	-1
mpneu05014	16745	16756	+	-1
mpneu19951	16715	16774	-	0
mpneu05015	16790	16876	+	0
mpneu00084	16816	16821	+	-1
mpneu09915	16857	16892	+	-1
mpneu25090	16837	16869	-	-1
mpneu05016	16886	16900	+	-1
mpneu19950	16796	16912	-	0
mpneu09916	16914	16922	+	-1
mpneu09917	16923	17036	+	0
mpneu00085	16957	17046	+	0
mpneu19949	16919	17011	-	0
mpneu25089	17023	17040	-	-1
mpneu19948	17033	17062	-	-1
mpneu00086	17062	17298	+	0
mpneu09918	17082	17126	+	-1
mpneu09919	17175	17204	+	-1
mpneu19947	17123	17200	-	0
mpneu09920	17214	17225	+	-1
mpneu19946	17201	17221	-	-1
mpneu19945	17222	17245	-	-1
mpneu05017	17252	17329	+	0
mpneu09921	17256	17324	+	0
mpneu19944	17249	17302	-	-1
mpneu00087	17332	17376	+	-1
mpneu30014	16482	17339	-	MPN015
mpneu05018	17360	17437	+	0
mpneu09922	17364	17477	+	0
mpneu25088	17353	17412	-	0
mpneu25087	17434	17472	-	-1
mpneu30013	17418	17474	-	-1
mpneu05019	17483	17512	+	-1
mpneu00088	17488	17499	+	-1
mpneu00089	17500	17505	+	-1
mpneu00090	17506	17571	+	0
mpneu09923	17514	17747	+	0
mpneu05020	17534	17566	+	-1
mpneu25086	17530	17550	-	-1
mpneu05021	17591	17602	+	-1
mpneu25085	17563	17610	-	-1
mpneu25084	17611	17631	-	-1
mpneu05022	17669	17695	+	-1
mpneu25083	17632	17679	-	-1
mpneu05023	17708	17716	+	-1
mpneu30012	17652	17735	-	0
mpneu09924	17772	18236	+	0
mpneu25082	17701	17778	-	0
mpneu05024	17807	17848	+	-1
mpneu30011	17802	17843	-	-1
mpneu00091	17860	17877	+	-1
mpneu25081	17845	17868	-	-1
mpneu00092	17893	17946	+	-1
mpneu05025	17897	17908	+	-1
mpneu05026	17915	17989	+	0
mpneu25080	17905	17979	-	0
mpneu30010	17961	17993	-	-1
mpneu05027	17993	18001	+	-1
mpneu25079	18004	18081	-	0
mpneu30009	18072	18086	-	-1
mpneu05028	18101	18112	+	-1
mpneu25078	18109	18126	-	-1
mpneu05029	18143	18151	+	-1
mpneu05030	18197	18229	+	-1
mpneu19943	17339	18205	-	MPN016
mpneu00093	18229	18360	+	0
mpneu05031	18263	18304	+	-1
mpneu25077	18148	18279	-	0
mpneu19942	18251	18286	-	-1
mpneu19941	18293	18319	-	-1
mpneu25076	18301	18321	-	-1
mpneu05032	18341	18367	+	-1
mpneu00094	18385	18510	+	0
mpneu09925	18399	18446	+	-1
mpneu19940	18329	18412	-	0
mpneu09926	18465	18506	+	-1
mpneu19939	18443	18475	-	-1
mpneu25075	18439	18477	-	-1
mpneu09927	18510	18542	+	-1
mpneu19938	18503	18529	-	-1
mpneu00095	18532	18657	+	0
mpneu09928	18576	18602	+	-1
mpneu19937	18539	18577	-	-1
mpneu19936	18599	18619	-	-1
mpneu00096	18667	18672	+	-1
mpneu19935	18650	18679	-	-1
mpneu05033	18680	18736	+	-1
mpneu00097	18694	18945	+	0
mpneu09929	18699	18707	+	-1
mpneu09930	18708	18782	+	0
mpneu19934	18779	18802	-	-1
mpneu09931	18807	18821	+	-1
mpneu19933	18818	18826	-	-1
mpneu25074	18844	18849	-	-1
mpneu09932	18861	18914	+	-1
mpneu05034	18881	18898	+	-1
mpneu19932	18836	18892	-	-1
mpneu09933	18960	18968	+	-1
mpneu05035	18962	19039	+	0
mpneu09934	18969	19019	+	-1
mpneu00098	18973	18996	+	-1
mpneu19931	18965	18982	-	-1
mpneu30008	18180	18989	-	MPN017
mpneu25073	18895	19023	-	0
mpneu05036	19046	19057	+	-1
mpneu09935	19062	19073	+	-1
mpneu05037	19073	19294	+	0
mpneu25072	19054	19095	-	-1
mpneu30007	19050	19103	-	-1
mpneu19930	19070	19117	-	-1
mpneu00099	19123	19212	+	0
mpneu09936	19167	19277	+	0
mpneu30006	19140	19190	-	-1
mpneu19929	19193	19261	-	0
mpneu25071	19264	19281	-	-1
mpneu19928	19307	19315	-	-1
mpneu05038	19325	21196	+	MPN018
mpneu09937	19332	19340	+	-1
mpneu19927	19337	19345	-	-1
mpneu09938	19395	19454	+	0
mpneu30005	19347	19400	-	-1
mpneu30004	19443	19463	-	-1
mpneu09939	19464	19535	+	0
mpneu19926	19370	19480	-	0
mpneu30003	19473	19490	-	-1
mpneu09940	19545	19565	+	-1
mpneu19925	19532	19561	-	-1
mpneu30002	19515	19595	-	0
mpneu09941	19599	19607	+	-1
mpneu09942	19611	19619	+	-1
mpneu00100	19630	19860	+	0
mpneu09943	19632	19643	+	-1
mpneu25070	19291	19641	-	0
mpneu30001	19701	19709	-	-1
mpneu09944	19716	19748	+	-1
mpneu19924	19667	19723	-	-1
mpneu25069	19660	19758	-	0
mpneu09945	19758	19772	+	-1
mpneu09946	19788	19805	+	-1
mpneu09947	19806	19832	+	-1
mpneu30000	19734	19817	-	0
mpneu09948	19845	19883	+	-1
mpneu09949	19914	20018	+	0
mpneu25068	19765	19956	-	0
mpneu19923	19943	19975	-	-1
mpneu00101	20047	20061	+	-1
mpneu09950	20070	20177	+	0
mpneu29999	20067	20075	-	-1
mpneu00102	20077	20085	+	-1
mpneu29998	20082	20117	-	-1
mpneu19922	20174	20185	-	-1
mpneu09951	20223	20288	+	0
mpneu25067	20008	20265	-	0
mpneu29997	20232	20306	-	0
mpneu09952	20352	20408	+	-1
mpneu19921	20300	20398	-	0
mpneu09953	20439	20447	+	-1
mpneu25066	20269	20454	-	0
mpneu19920	20444	20476	-	-1
mpneu09954	20493	20549	+	-1
mpneu09955	20562	20642	+	0
mpneu25065	20509	20583	-	0
mpneu19919	20570	20611	-	-1
mpneu09956	20658	20714	+	-1
mpneu09957	20763	20855	+	0
mpneu00103	20794	20901	+	0
mpneu25064	20635	20811	-	0
mpneu19918	20639	20839	-	0
mpneu09958	20871	20930	+	0
mpneu29996	20913	20921	-	-1
mpneu19917	20852	20923	-	0
mpneu09959	20937	20966	+	-1
mpneu09960	20991	23012	+	MPN019
mpneu25063	20830	21135	-	0
mpneu25062	21136	21144	-	-1
mpneu29995	21111	21200	-	0
mpneu05039	21224	21238	+	-1
mpneu00104	21274	21498	+	0
mpneu29994	21231	21389	-	0
mpneu29993	21399	21416	-	-1
mpneu19916	20963	21430	-	0
mpneu05040	21449	21487	+	-1
mpneu19915	21470	21481	-	-1
mpneu00105	21538	21621	+	0
mpneu29992	21516	21575	-	0
mpneu19914	21560	21637	-	0
mpneu00106	21664	21708	+	-1
mpneu29991	21618	21671	-	-1
mpneu25061	21652	21687	-	-1
mpneu00107	21730	21738	+	-1
mpneu00108	21748	21756	+	-1
mpneu19913	21644	21748	-	0
mpneu00109	21775	21783	+	-1
mpneu00110	21784	21807	+	-1
mpneu00111	21826	21849	+	-1
mpneu25060	21700	21831	-	0
mpneu29990	21804	21839	-	-1
mpneu19912	21824	21856	-	-1
mpneu00112	21868	21897	+	-1
mpneu00113	21901	22041	+	0
