	gene	start	end	strand	ntlen	aalen	ann_type	alt_ann	localization	function	operon	expression	cprna	msexp	mspepts	cpprot	ureacp	sdscp	meancp	hlprot	refdens	refesse	ranseps	rbs	homology	predfun	tm	sp	segtm	complex
10	MPN011	12838	13533	-	695	231.0	ncbi	1	Lipoprotein	Lipoprotein	606.0	4.91704588391	0.01165614963	114.0	10.0	20.0	17.7	20.0	65.17	7.86	0.754	NE	0.695	0.0	6.0	MPN011	0.0	1.0	n6-17c22/23o	1.0
11	MPN012	13558	14265	-	707	235.0	ncbi	1	Lipoprotein	Cytoskeleton	606.0	5.97525970025	0.03419532123	13.0	4.0	0.0	7.9	0.0	20.47	7.32	0.731	NE	0.713	1.0	6.0	MPN012	0.0	1.0	n6-17c21/22o	1.0
12	MPN013	15088	15765	+	677	225.0	ncbi	1	Cytoplasm	Cytoskeleton	5.0	6.34983564882	0.06905933398	53.0	7.0	5.6	5.6	16.6	25.23	6.22	0.662	NE	0.999	1.0	6.0	MPN013	0.0	0.0	o	1.0
13	MPN014	15939	16505	+	566	188.0	ncbi	1	Cytoplasm	DNA recombination	6.0	2.21536615355	0.006737824103	0.0	0.0	0.0	0.0	0.0	0.0		0.817	NE	0.994	0.0	1.0	bcere171219||dna primase	0.0	0.0	o	1.0
14	MPN015	16482	17339	-	857	285.0	ncbi	1	Cytoplasm	rRNA and rProtein modifications/processing	603.0	7.07304781682	0.101570605	114.0	24.0	48.3	48.3	118.2	123.43	5.46	0.453	NE	0.998	0.0	6.0	MPN015	0.0	0.0	i	1.0
15	MPN016	17339	18205	-	866	288.0	ncbi	1	Cytoplasm	rRNA and rProtein modifications/processing	601.0	7.24451263218	0.09909666081	83.0	11.0	17.1	17.1	18.6	20.22		0.208	F	0.976	1.0	6.0	rimK	0.0	0.0	o	1.0
16	MPN017	18180	18989	-	809	269.0	ncbi	1	Cytoplasm	Vitamin/Folate metabolism + Redox balance	601.0	6.37866304335	0.07127406756	90.0	9.0	19.9	19.9	19.4	27.04	5.9	0.02	E	0.99	0.0	6.0	mtd1	0.0	0.0	o	2.0
17	MPN018	19325	21196	+	1871	623.0	ncbi	1	Membrane	Lipid/CoA metabolism	8.0	7.29506543321	0.07575789659	115.0	25.0	22.6	21.1	22.6	71.66	7.39	0.097	E	0.994	0.0	6.0	pmd1	6.0	0.0	i21-48o80-108i157-176o182-200i260-286o306-331i	1.0
18	MPN019	21108	23012	+	1904	634.0	ncbi	1	Membrane	Lipid/CoA metabolism	8.0	7.36069976852	0.07709075718	115.0	22.0	84.0	48.6	84.0	183.85	8.14	0.122	E	0.933	1.0	6.0	msbA	7.0	0.0	o26-48i93-115o150-170i224-246o252-272i333-358o364-384i	1.0
19	MPN020	23022	26114	+	3092	1030.0	ncbi	1	Cytoplasm	RNA synthesis + DNA synthesis/modifications/repair/conformation	8.0	7.80756819253	0.1398739556	115.0	64.0	135.5	135.5	188.9	246.23	6.93	0.038	E	0.996	0.0	6.0	yb95	0.0	0.0	o	1.0
20	MPN021	26160	27332	+	1172	390.0	ncbi	1	Cytoplasm	Protein homeostasis	8.0	8.79585721115	0.1940914129	115.0	17.0	215.7	215.7	247.8	347.07	8.03	0.002	E	0.984	0.0	6.0	dnaJ	0.0	0.0	o	2.0
21	MPN022	27316	28245	+	929	309.0	ncbi	1	Cytoplasm	Proteases	8.0	8.42429570484	0.1585485255	115.0	17.0	184.9	184.9	149.4	183.32	7.87	0.485	NE	0.999	0.0	6.0	pip	0.0	0.0	o	2.0
22	MPN023	28245	29783	+	1538	512.0	ncbi	1	Cytoplasm	tRNA synthases	8.0	6.81292987771	0.0625728557	115.0	19.0	69.7	69.7	45.6	73.77	6.96	0.008	E	0.998	0.0	6.0	metS	0.0	0.0	o	2.0
23	MPN024	29804	30244	+	440	146.0	ncbi	1	Cytoplasm	RNA synthesis	9.0	10.2000019072	0.702656219	114.0	10.0	625.0	625.0	585.8	445.95	4.09	0.006	E	0.996	0.0	6.0	rpoE	0.0	0.0	o	2.0
24	MPN025	30244	31110	+	866	288.0	ncbi	1	Cytoplasm	Glycolysis	9.0	9.57120703721	0.4049965553	116.0	23.0	809.7	809.7	1015.9	1183.12	7.77	0.003	E	0.998	0.0	6.0	tsr	0.0	0.0	o	2.0
25	MPN026	31111	32199	+	1088	362.0	ncbi	1	Cytoplasm	Protein synthesis factors	9.0	6.7343749499	0.09334795998	105.0	9.0	44.2	44.2	27.8	50.07	5.8	0.51	NE	0.993	1.0	6.0	yyaF	0.0	0.0	o	1.0
26	MPN027	32202	33026	-	824	274.0	ncbi	1	Cytoplasm	rRNA and rProtein modifications/processing	592.0	4.78229099037	0.0217145312	40.0	7.0	18.3	18.3	4.7	8.28		0.43	NE	0.999	0.0	6.0	MPN027	0.0	0.0	o	1.0
27	MPN028	33059	33958	+	899	299.0	ncbi	1	Membrane	Glycocalyx	10.0	7.13032558588	0.09338710686	67.0	3.0	14.5	6.3	14.5	18.79		0.788	NE	0.98	0.0	6.0	trsB	2.0	0.0	i234-253o273-290i	1.0
28	MPN029	33979	34551	+	572	190.0	ncbi	1	Cytoplasm	Protein synthesis factors	10.0	8.81953783454	0.1873075375	112.0	14.0	809.7	809.7	499.4	502.66	6.68	0.139	F	0.995	0.0	6.0	efp	0.0	0.0	o	1.0
29	MPN030	34469	34975	+	506	168.0	ncbi	1	Cytoplasm	RNA synthesis	10.0	8.22937447816	0.120364582	99.0	2.0	31.0	31.0	7.1	11.42	4.93	0.04	E	0.963	0.0	6.0	MPN030	0.0	1.0	n4-14c19/20o	1.0
30	MPN031	34975	35586	+	611	203.0	ncbi	1	Membrane	Conserved hypothetical proteins	10.0	7.12539087025	0.05434999878	96.0	5.0	115.0	28.9	115.0	93.28	7.06	0.027	E	0.951	1.0	6.0	MPN031	4.0	0.0	i12-33o39-60i81-105o125-146i	1.0
31	MPN032	35810	36136	-	326	108.0	ncbi	1	Cytoplasm	Oxidative homeostasis	590.0	7.20193066672	0.1122020235	5.0	1.0	0.0	0.0	0.0	0.0		0.762	NE	0.997	0.0	6.0	MPN032	0.0	0.0	o	1.0
32	MPN033	36140	36760	-	620	206.0	ncbi	1	Cytoplasm	Nucleotide metabolism/Salvage	590.0	6.60347309192	0.06951471343	115.0	11.0	73.6	73.6	57.7	90.28	6.34	0.004	E	0.982	0.0	6.0	upp	0.0	0.0	o	4.0
33	MPN034	36800	41131	-	4331	1443.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	590.0	6.93738901739	0.08286730731	115.0	77.0	41.6	41.6	66.6	170.91	7.3	0.004	E	0.991	0.0	6.0	polC	0.0	0.0	o	1.0
34	MPN035	41409	43409	+	2000	666.0	ncbi	1	SIGNALP	Conserved hypothetical proteins	11.0	3.86784872914	0.02176255838	0.0	0.0	0.0	15.0	0.0	15.94		0.784	NE	0.997	0.0	6.0	MPN035	0.0	1.0	n8-18c23/24o	1.0
35	MPN036	43581	45602	+	2021	673.0	ncbi	1	SIGNALP	Conserved hypothetical proteins	12.0	9.17070662853	0.4806500212	94.0	23.0	45.6	20.1	45.6	35.05	5.98	0.753	NE	0.998	0.0	6.0	MPN036	0.0	1.0	n7-25c30/31o	1.0
36	MPN037	45770	46213	+	443	147.0	ncbi	1	Membrane	Conserved hypothetical proteins	12.0	2.73030858229	0.007554818654	0.0	0.0	0.0	0.0	0.0	0.0		0.902	NE	0.545	0.0	6.0	MPN037	3.0	0.0	o20-38i50-69o81-99i	1.0
37	MPN037a	45736	46068	-	332	110.0	ncbi	1		Hypothetical	589.0		0.03002772423	0.0	0.0						0.891	NE	0.0	0.0	0.0	0	0.0	0.0	0	1.0
38	MPN038	46442	46711	-	269	89.0	ncbi	1	Cytoplasm	Cytoskeleton	588.0	4.25801084648	0.01241912692	0.0	0.0	0.0	0.0	0.0	0.0		0.819	NE	0.922	1.0	6.0	MPN038	0.0	0.0	i	1.0
39	MPN039	47194	48210	+	1016	338.0	ncbi	1		Conserved hypothetical proteins	14.0	5.9720202929	0.07793788788	0.0	0.0				3.87		0.779	NE	0.998	0.0	2.0	mgeni04332||/inference=existence: similar to aa sequence:swissprot:p47278.1	0.0	1.0	n7-18c26/27o	1.0
40	MPN040	48105	48416	-	311	103.0	ncbi	1		Conserved hypothetical proteins	586.0	1.22836009537	0.005129539116	0.0	0.0						0.824	NE	0.481	0.0	3.0	0	0.0	1.0	n43-61c70/71o	1.0
41	MPN041	48670	49230	+	560	186.0	ncbi	1		Conserved hypothetical proteins	14.0	3.01810120724	0.0133263147	0.0	0.0						0.797	NE	0.917	0.0	2.0	mgeni04332||/inference=existence: similar to aa sequence:swissprot:p47278.1	0.0	0.0	o	1.0
42	MPN042	49292	51310	+	2018	672.0	ncbi	1	Cytoplasm	Conserved hypothetical proteins	14.0	2.16512525113	0.005256340548	0.0	0.0	0.0	0.0	0.0	156.5		0.723	NE	0.997	0.0	6.0	MPN042	0.0	1.0	n7-17c22/23o	1.0
43	MPN043	51634	52428	+	794	264.0	ncbi	1	Membrane	Lipid/CoA metabolism	15.0	8.14572925968	0.096373373	115.0	4.0	75.1	162.2	75.1	156.49		0.526	NE	0.885	0.0	6.0	glpF	7.0	0.0	o12-37i49-71o77-96i108-134o162-182i194-215o243-263i	1.0
44	MPN044	52475	53050	-	575	191.0	ncbi	1	Cytoplasm	Nucleotide metabolism/Salvage	584.0	7.16823219072	0.2325303801	115.0	10.0	91.1	91.1	44.0	77.67	2.79	0.287	F	0.992	1.0	6.0	tdk	0.0	0.0	o	4.0
45	MPN045	53077	54321	+	1244	414.0	ncbi	1	Cytoplasm	tRNA synthases	16.0	7.24848516974	0.07165466593	115.0	22.0	37.7	37.7	60.6	172.17	7.74	0.004	E	0.992	0.0	6.0	hisS	0.0	0.0	o	2.0
46	MPN046	54293	55966	+	1673	557.0	ncbi	1	Cytoplasm	tRNA synthases	16.0	6.08921480162	0.05097416091	115.0	31.0	63.3	63.3	98.1	124.3	7.29	0.007	E	0.994	1.0	6.0	aspS	0.0	0.0	o	2.0
47	MPN047	55942	57297	+	1355	451.0	ncbi	1	Cytoplasm	Vitamin/Folate metabolism	16.0	6.06968808607	0.03941137898	94.0	15.0	29.7	29.7	34.7	32.21	6.31	0.009	E	0.998	0.0	6.0	MPN047	0.0	0.0	o	2.0
48	MPN048	57508	59442	+	1934	644.0	ncbi	1	Cytoplasm	Lipid/CoA metabolism	19.0	3.64087945158	0.01130563897	0.0	0.0	7.3	7.3	0.0	0.0		0.82	NE	0.968	0.0	6.0	MPN048	0.0	0.0	o	1.0
49	MPN049	59619	61517	+	1898	632.0	ncbi	1	SIGNALP	Lipid/CoA metabolism	20.0	2.87158568507	0.009208322737	0.0	0.0	0.0	0.0	0.0	2.56		0.814	NE	0.991	0.0	6.0	MPN049	0.0	1.0	n7-15c20/21o	1.0
50	MPN050	61977	63503	-	1526	508.0	ncbi	1	Cytoplasm	Lipid/CoA metabolism	580.0	8.37415513787	0.1036181197	115.0	28.0	250.6	250.6	309.3	420.96	7.91	0.132	F	0.999	0.0	6.0	glpK	0.0	0.0	o	4.0
51	MPN051	63494	64648	-	1154	384.0	ncbi	1	Membrane-internal	Lipid/CoA metabolism + Pathogenesis	580.0	8.15980708457	0.09948585056	116.0	27.0	537.1	467.3	537.1	843.99	7.85	0.782	NE	0.998	1.0	6.0	glpD	0.0	0.0	o	2.0
52	MPN052	64831	66804	+	1973	657.0	ncbi	1	Lipoprotein	Nucleotide metabolism/Salvage	23.0	8.73280676764	0.1923839271	116.0	37.0	259.2	280.6	259.2	760.4	8.17	0.149	F	0.979	1.0	6.0	MPN052	1.0	0.0	i12-33o	1.0
53	MPN053	66822	67088	+	266	88.0	ncbi	1	Cytoplasm	Glycolysis	23.0	10.5657860956	0.6360845335	115.0	5.0	1083.6	1083.6	1654.1	1012.46	7.91	0.108	E	0.79	0.0	6.0	ptsH	0.0	0.0	o	1.0
54	MPN054	68627	68998	+	371	123.0	ncbi	1	Lipoprotein	Lipoprotein	25.0	0.767358510651	0.004878011777	0.0	0.0	0.0	0.0	0.0	0.0		0.842	NE	0.829	0.0	6.0	MPN054	0.0	1.0	n6-17c22/23o	1.0
55	MPN055	70404	72086	+	1682	560.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	26.0	7.2428281202	0.08013918093	116.0	29.0	138.0	138.0	157.8	229.6	5.96	0.006	E	0.975	0.0	6.0	potA	0.0	0.0	o	2.0
56	MPN056	72088	72948	+	860	286.0	ncbi	1	Membrane	DNA synthesis/modifications/repair/conformation	26.0	6.13471992661	0.04993474772	17.0	1.0	6.0	0.4	6.0	20.28		0.003	E	0.886	1.0	6.0	potB	6.0	0.0	i7-30o62-83i95-118o138-158i194-216o246-267i	1.0
57	MPN057	72941	73801	+	860	286.0	ncbi	1	Membrane	DNA synthesis/modifications/repair/conformation	26.0	6.07637281862	0.04890318222	46.0	2.0	0.0	0.0	0.0	20.34		0.0	E	0.867	1.0	6.0	potI	6.0	0.0	i9-35o78-100i112-134o146-167i188-212o244-266i	1.0
58	MPN058	73786	75243	+	1457	485.0	ncbi	1	Lipoprotein	DNA synthesis/modifications/repair/conformation	26.0	5.55419159604	0.03047830979	115.0	20.0	48.8	76.4	48.8	114.28	7.03	0.016	E	0.996	0.0	6.0	MPN058	0.0	1.0	n9-20c25/26o	1.0
59	MPN059	75243	76202	+	959	319.0	ncbi	1	Cytoplasm	tRNA modifications/processing	27.0	6.76833003908	0.07624983953	113.0	10.0	64.3	64.3	15.7	70.45	6.68	0.023	E	0.991	0.0	6.0	gcp	0.0	0.0	o	1.0
60	MPN060	76186	77337	+	1151	383.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	27.0	6.45129407734	0.06129474803	115.0	17.0	71.0	71.0	75.1	118.62	7.12	0.014	E	0.985	0.0	6.0	metX	0.0	0.0	o	4.0
61	MPN060b	77280	77594	+	314	104.0	ncbi	1						0.0	0.0								0.0	0.0	0.0	0	0.0	0.0	0	1.0
62	MPN061	77625	78977	-	1352	450.0	ncbi	1	Cytoplasm	Protein synthesis factors	570.0	7.25206889178	0.08370341807	115.0	25.0	196.9	196.9	186.1	276.44	7.24	0.005	E	0.994	0.0	6.0	ffh	0.0	0.0	o	1.0
63	MPN062	79033	79749	+	716	238.0	ncbi	1	Cytoplasm	Nucleotide metabolism/Salvage	29.0	8.56840409475	0.2179726993	116.0	18.0	652.9	652.9	491.8	618.19	7.7	0.092	E	0.977	0.0	6.0	deoD	0.0	0.0	o	6.0
64	MPN063	79753	80427	+	674	224.0	ncbi	1	Cytoplasm	Nucleotide metabolism/Salvage	29.0	8.57425146158	0.2776392076	115.0	20.0	296.0	296.0	259.2	380.07	7.54	0.006	E	0.999	0.0	6.0	deoC	0.0	0.0	o	2.0
65	MPN064	80414	81679	+	1265	421.0	ncbi	1	Cytoplasm	Nucleotide metabolism/Salvage	29.0	8.98135333389	0.2534117984	115.0	26.0	194.1	194.1	261.9	318.96	8.47	0.489	NE	0.999	0.0	6.0	deoA	0.0	0.0	o	2.0
66	MPN065	81690	82091	+	401	133.0	ncbi	1	Cytoplasm	Nucleotide metabolism/Salvage	29.0	9.31505031209	0.3354682774	110.0	7.0	150.1	150.1	103.7	90.73	6.01	0.63	NE	0.937	0.0	6.0	cdd	0.0	0.0	o	2.0
67	MPN066	82081	83745	+	1664	554.0	ncbi	1	Cytoplasm	Pentose Pathway	29.0	8.31350993609	0.1449956451	115.0	30.0	285.8	285.8	264.7	241.19	7.54	0.006	E	0.997	1.0	6.0	cpsG	0.0	0.0	o	2.0
68	MPN067	83713	84675	-	962	320.0	ncbi	1	Cytoplasm	RNA synthesis	567.0	8.42726746751	0.1963506532	116.0	25.0	586.9	586.9	480.5	590.76	6.5	0.003	E	0.997	0.0	6.0	nusG	0.0	0.0	o	1.0
69	MPN068	84683	85060	-	377	125.0	ncbi	1	Membrane	Protein secretion	567.0	9.0041111363	0.3392894667	95.0	4.0	1.2	24.1	1.2	27.37	4.37	0.003	E	0.966	0.0	6.0	secE	1.0	0.0	i108-129o	1.0
70	MPN069	85066	85212	-	146	48.0	ncbi	1	Cytoplasm	Ribosome	567.0	8.83433187373	0.6329903668	66.0	1.0	19.7	19.7	10.4	35.81	2.79	0.034	E	0.551	0.0	6.0	rpmG	0.0	0.0	i	1.0
71	MPN070	85228	85611	-	383	127.0	ncbi	1	Membrane	Conserved hypothetical proteins	566.0	6.9115535093	0.1135824387	5.0	1.0	41.5	0.0	41.5	35.2		0.013	E	0.88	1.0	6.0	MPN070	2.0	0.0	i12-35o55-75i	1.0
72	MPN071	85598	86428	-	830	276.0	ncbi	1	Cytoplasm	rRNA and rProtein modifications/processing	564.0	5.03437945244	0.03530528097	75.0	9.0	21.9	21.9	36.2	50.98	4.98	0.323	F	0.997	1.0	6.0	yabC	0.0	0.0	o	1.0
73	MPN072	86410	86946	-	536	178.0	ncbi	1	Cytoplasm	RNA degradation	564.0	6.44861631738	0.07484380128	91.0	7.0	21.3	21.3	20.0	36.54		0.168	F	0.99	0.0	6.0	yabF	0.0	0.0	i	1.0
74	MPN073	86925	88091	-	1166	388.0	ncbi	1	Cytoplasm	Pentose Pathway + Nucleotide metabolism/Salvage	564.0	7.14788066676	0.1006799751	115.0	19.0	218.5	218.5	75.1	275.11	7.87	0.027	E	0.98	1.0	6.0	prs	0.0	0.0	i	6.0
75	MPN073.1	86925	87959	-	1034	344.0	ncbi	1						0.0	0.0								0.0	0.0	0.0	0	0.0	0.0	0	1.0
76	MPN074	87898	88341	-	443	147.0	ncbi	1	Cytoplasm	Protein synthesis factors + Protein homeostasis	564.0	6.29751922561	0.05578169545	21.0	5.0	10.2	10.2	29.3	25.11		0.048	E	0.993	0.0	6.0	smpB	0.0	0.0	o	1.0
77	MPN075	88348	89247	+	899	299.0	ncbi	1	Cytoplasm	Glycocalyx	30.0	4.68455428716	0.02918678965	70.0	8.0	10.1	10.1	9.0	24.69	5.6	0.394	NE	0.996	0.0	6.0	ywdF	0.0	0.0	o	1.0
78	MPN076	89299	90993	-	1694	564.0	ncbi	1	Membrane	Lipid/CoA metabolism	562.0	9.86684054363	0.2838568197	115.0	9.0	318.3	199.8	318.3	647.22	7.71	0.467	NE	0.971	0.0	6.0	uhpT	12.0	0.0	i12-34o77-95i102-120o190-213i233-255o261-283i321-342o370-392i404-429o435-459i471-489o509-535i	1.0
79	MPN077	91199	92884	-	1685	561.0	ncbi	1	Membrane	Lipid/CoA metabolism	561.0	8.85148821736	0.1123314054	115.0	10.0	50.4	159.7	50.4	125.58	7.75	0.832	NE	0.922	0.0	6.0	MPN077	12.0	0.0	i12-34o77-95i102-123o193-214i235-255o261-283i320-340o360-377i389-413o419-443i455-476o496-520i	1.0
80	MPN078	93191	95275	+	2084	694.0	ncbi	1	Membrane	Glycolysis	33.0	5.42903900945	0.03303968572	115.0	22.0	132.2	30.8	132.2	136.14	7.51	0.782	NE	0.98	1.0	6.0	fruA	10.0	0.0	i313-338o358-381i388-405o425-442i462-486o501-520i541-564o576-597i604-625o645-675i	1.0
81	MPN079	95268	96170	+	902	300.0	ncbi	1	Cytoplasm	Glycolysis	33.0	5.45636058503	0.02468351194	114.0	8.0	34.1	34.1	53.3	99.63	7.21	0.643	NE	0.997	0.0	6.0	fruK	0.0	0.0	o	8.0
82	MPN080	96407	100567	+	4160	1386.0	ncbi	1	Membrane	Cell division	34.0	4.55753227704	0.01664657492	111.0	38.0	30.7	23.9	30.7	60.84	6.78	0.014	E	0.987	0.0	6.0	MPN080	9.0	1.0	n17-28c32/33o514-539i559-577o583-599i611-633o653-670i682-701o1260-1281i1302-1329o1349-1372i	2.0
83	MPN081	100567	101964	+	1397	465.0	ncbi	1	Cytoplasm	AA metabolism	34.0	4.72210908438	0.01817288592	115.0	24.0	32.3	32.3	48.4	76.25	7.0	0.05	E	0.992	0.0	6.0	glnQ	0.0	0.0	o	1.0
84	MPN082	101985	103931	+	1946	648.0	ncbi	1	Cytoplasm	Pentose Pathway	35.0	8.43434852989	0.1738898405	116.0	42.0	321.6	321.6	350.9	552.07	8.44	0.333	F	0.996	1.0	6.0	tklB	0.0	1.0	n4-15c20/21o	2.0
85	MPN083	103941	105542	+	1601	533.0	ncbi	1	Lipoprotein	Lipoprotein	35.0	9.35974928518	0.3014681497	107.0	23.0	52.9	73.6	52.9	59.14	4.61	0.631	NE	0.997	1.0	6.0	MPN083	0.0	1.0	n8-19c24/25o	1.0
86	MPN084	105592	107166	+	1574	524.0	ncbi	1	Lipoprotein	Lipoprotein	35.0	8.63715243799	0.1875847135	115.0	22.0	51.7	57.9	51.7	79.58	2.3	0.75	NE	0.983	0.0	6.0	MPN084	1.0	0.0	o6-27i	1.0
87	MPN085	107273	108595	+	1322	440.0	ncbi	1	Membrane	Conserved hypothetical proteins	38.0	6.23085015885	0.01983553331	22.0	5.0	8.1	0.0	8.1	8.34		0.854	NE	0.586	0.0	6.0	MPN085	9.0	0.0	o27-49i56-76o96-117i138-158o209-233i245-265o277-305i393-417o423-439i	1.0
88	MPN086	108857	109174	+	317	105.0	ncbi	1	Membrane	Conserved hypothetical proteins	38.0	2.76002009714	0.004288552235	0.0	0.0	0.0	0.0	0.0	0.0		0.799	NE	0.717	0.0	6.0	MPN086	2.0	0.0	i23-49o69-91i	1.0
89	MPN087	109346	109798	+	452	150.0	ncbi	1	Membrane	Conserved hypothetical proteins	39.0	1.28752374396	0.004288552235	0.0	0.0	0.0	0.0	0.0	0.0		0.815	NE	0.568	0.0	6.0	MPN087	4.0	0.0	i21-39o76-104i116-138o158-176i	1.0
90	MPN088	110813	111118	+	305	101.0	ncbi	1	Cytoplasm	Conserved hypothetical proteins	40.0	3.76582795363	0.01615631634	0.0	0.0	0.0	0.0	0.0	0.0		0.816	NE	0.305	1.0	6.0	MPN088	0.0	0.0	o	1.0
91	MPN089	111610	112617	+	1007	335.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	41.0	4.56002630215	0.0135813046	0.0	0.0	0.0	0.0	0.0	0.0		0.851	NE	0.923	0.0	1.0	mpulm05932||lcl|nc_002771.1_cds_wp_010925235.1_415	0.0	0.0	o	1.0
92	MPN090	112772	113761	+	989	329.0	ncbi	1	Membrane	Conserved hypothetical proteins	42.0	6.29394278176	0.06478146222	110.0	4.0	74.7	2.8	74.7	104.09	8.27	0.846	NE	0.646	0.0	6.0	MPN090	7.0	0.0	o29-47i83-102o122-140i161-184o217-246i258-285o297-319i	1.0
93	MPN091	113838	114254	+	416	138.0	ncbi	1		Conserved hypothetical proteins	42.0	0.672005393794	0.005001243286	0.0	0.0						0.922	NE	0.41	0.0	5.0	0	0.0	0.0	o	1.0
94	MPN092	114572	115093	+	521	173.0	ncbi	1		Adhesins/attachment organelle	42.0	2.55697200675	0.007057611036	0.0	0.0				12.61		0.763	NE	0.771	0.0	5.0	0	0.0	0.0	o	1.0
95	MPN093	114948	115853	+	905	301.0	ncbi	1		Adhesins/attachment organelle	42.0	1.28806757419	0.004500045696	0.0	0.0						0.768	NE	0.886	1.0	2.0	mgeni09750||/inference=existence: similar to aa sequence:refseq:wp_010869367.1	0.0	0.0	o	1.0
96	MPN094	116455	116709	+	254	84.0	ncbi	1	Cytoplasm	Cytoskeleton	43.0	2.12288743098	0.01071436463	0.0	0.0	0.0	0.0	0.0	12.6		0.911	NE	0.95	1.0	6.0	MPN094	0.0	0.0	o	1.0
97	MPN095	123290	124054	+	764	254.0	ncbi	1	Membrane	AA metabolism	45.0	7.50419533587	0.07250326383	75.0	2.0	6.0	0.0	6.0	41.08	8.44	0.759	NE	0.919	1.0	6.0	MPN095	6.0	0.0	i29-49o64-84i116-136o156-174i186-210o230-251i	1.0
98	MPN096	124054	124848	+	794	264.0	ncbi	1	Membrane	AA metabolism	45.0	7.10531995822	0.0583521321	17.0	2.0	55.3	25.2	55.3	51.55	7.67	0.795	NE	0.911	0.0	6.0	MPN096	5.0	1.0	n3-14c18/19o42-65i95-122o142-163i175-195o215-236i	1.0
99	MPN097	125024	126649	+	1625	541.0	ncbi	1	Lipoprotein	Lipoprotein	46.0	6.25371651758	0.05635024153	2.0	1.0	0.0	0.0	0.0	10.81		0.721	NE	0.996	0.0	1.0	mgall07947||mycoplasma specific lipoprotein a	0.0	1.0	n6-16c21/22o	1.0
100	MPN098	126947	127390	+	443	147.0	ncbi	1		Lipoprotein	46.0	3.44573788735	0.00954020522	0.0	0.0				70.27		0.666	NE	0.997	1.0	1.0	mgall07947||mycoplasma specific lipoprotein a	0.0	0.0	o	1.0
101	MPN099	128076	129119	+	1043	347.0	ncbi	1		Adhesins/attachment organelle	47.0	0.13636534216	0.004486904578	0.0	0.0						0.786	NE	0.842	0.0	2.0	mgeni05718||/inference=existence: similar to aa sequence:swissprot:p20796.1	0.0	0.0	o	1.0
